GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,HelpMojo,854,0,108,0,153,0,70,0,16,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListReportMojo,27,223,1,3,5,52,1,10,0,9
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,AbstractLifecycleMojo,29,65,0,4,4,14,0,6,0,4
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListPhaseMojo,12,181,1,15,1,34,1,13,0,6
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.ByPlugin,12,28,3,3,2,7,4,2,2,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups,3,0,0,0,1,0,1,0,1,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,SynchronizedFileReporter,3,16,0,0,1,5,1,1,1,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListPluginMojo,13,117,1,5,1,20,1,6,0,4
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListMojo,0,196,0,8,0,36,0,9,0,5
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.Options,5,16,0,0,2,7,1,3,1,3
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,NoMojoExecution,2,15,0,0,1,6,1,5,1,5
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.ByPhase,32,55,3,7,4,12,6,5,4,2
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.util,LinkedMultimap,0,48,0,0,0,10,0,8,0,8
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.util,Objects,0,7,0,2,0,1,0,2,0,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListPluginTableDescriptor,0,123,0,0,0,24,0,11,0,11
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,AbstractTableDescriptor,0,162,2,18,0,28,2,14,0,4
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,TableColumn,0,70,0,0,0,10,0,3,0,3
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListTableDescriptor,76,171,0,2,8,38,1,17,1,16
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListPhaseTableDescriptor,0,119,0,0,0,24,0,11,0,11
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,TableDescriptor,0,4,0,0,0,1,0,1,0,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,MojoExecutionDisplay,0,40,0,2,0,9,0,7,0,6
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,Output,0,6,0,0,0,2,0,2,0,2
